"Civil Hospital, Rohtak",Govt Hospitals,Cat. I - Dedicated COVID,ROHTAK
,,Hospitals / DCH,
sanjeevani hospital,Private Hospitals,Cat. I - Dedicated COVID,SIRSA
,,Hospitals / DCH,
"Shah Satnam Dera Hospital (Wing -2, 2nd floor), Sirsa",Private Hospitals,Cat. I - Dedicated COVID Hospitals / DCH,SIRSA
Dayanand Hospital,Private Hospitals,Cat. I - Dedicated COVID,SONIPAT
,,Hospitals / DCH,
BPS Medical College,Govt Medical,Cat. I - Dedicated COVID,SONIPAT
Khanpur,College,Hospitals / DCH,
Gaba Hospital,Private Hospitals,Cat. I - Dedicated COVID,YAMUNANAGA
,,Hospitals / DCH,R
ESI Hospital,Govt Hospitals,Cat. I - Dedicated COVID,YAMUNANAGA
,,Hospitals / DCH,R
Santosh Hospital,Private Hospitals,Cat. I - Dedicated COVID,YAMUNANAGA
,,Hospitals / DCH,R
"Military Hospital, Ambala Cantt",Govt Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,AMBALA
Healing Touch Hospital Pvt,Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,AMBALA
"Civil Hospital, Naraingarh",Govt Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,AMBALA
"Railway Hospital, Ambala Cantt",Govt Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,AMBALA
Civil Hospital Ambala Cantt,Govt Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,AMBALA
Civil Hospital Ambala City,Govt Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,AMBALA
Krishan Lal Jalan Hospital,Govt Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,BHIWANI
Jangra Multispecilaity Hospital,Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,BHIWANI
Spes Hospital,Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,BHIWANI
Ch. Bansilal Govt Hospital,Govt Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,BHIWANI
Life Line Hospital,Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,BHIWANI
Ganpatrai Hospital,Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,BHIWANI
ESI Hospital Bhiwani,Govt Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,BHIWANI
Civil Hospital,Govt Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,CHARKI DADRI
Yadav Hospital,Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,CHARKI DADRI
Pradhan Medicare Centre,Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,CHARKI DADRI
B.K. Hospital Faridabad,Govt Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,FARIDABAD
Goyal Hospital,Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,FARIDABAD
Jivagram,Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,FARIDABAD
Noble Hospital,Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,FARIDABAD
QRG Hospital Medicare,Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,FARIDABAD
Medicheck Ortho Hospital,Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,FARIDABAD
Pawan Hospital Unit-2,Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,FARIDABAD
Asian Hospital,Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,FARIDABAD
SDH Ballabgarh,Govt Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,FARIDABAD
Shanti Devi Memorial Hospital,Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,FARIDABAD
Pawan Hospital Unit-1,Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,FARIDABAD
Fortis Escort Hospital,Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,FARIDABAD
Metro Hospital Medicare,Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,FARIDABAD
Supreme Hospital,Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,FARIDABAD
Santosh Multispeciality Hospital,Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,FARIDABAD
Sarvodya Sector 19,Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,FARIDABAD
RK Hospital,Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,FARIDABAD
QRG Central,Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,FARIDABAD
Arsh Hospital,Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,FARIDABAD
Kedar Hospital,Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,FARIDABAD
National Institute Of Medical Sciences,Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,FARIDABAD
Medicheck Hospital,Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,FARIDABAD
Rajasthan Medical Centre (RMC) Hospital Tohana,Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,FATEHABAD
"Civil Hospital, Tohana",Govt Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,FATEHABAD
"Manav Sewa Sangam Hospital, Tohana",Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,FATEHABAD
Civil Hospital Fatehabad,Govt Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,FATEHABAD
WadhwaMaternity and surgical Hospital Fatehabad,Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,FATEHABAD
"Fakir chand Jain Charitable Hospital, Tohana",Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,FATEHABAD
"Punjabi Sabha Hospital, Bhattu Road, Fatehabad",Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,FATEHABAD
Sadbhawdna Hospital,Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,FATEHABAD
"W Pratisha Hospital, Gurugram",Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,GURUGRAM
"Neelkanth Hospital, Gurugram",Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,GURUGRAM
Aryan Hospital Gurugram,Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,GURUGRAM
"Metro Hospital, Palam vihar,Gurugram",Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,GURUGRAM
"Artemis Hospital, Gurugram",Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,GURUGRAM
"Kalyani Hospital, Gurugram",Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,GURUGRAM
Colombia Asia Hospital Gurugram,Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,GURUGRAM
"Civil Hospital, Sector 10A, Gurugram",Govt Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,GURUGRAM
"Mayom Hospital ,Gurugram",Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,GURUGRAM
"Fortis Hospital, Gurugram",Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,GURUGRAM
"Max Hospital, Gurugram",Private Hospitals,Cat. II - Dedicated COVID Health Center / DCHC,GURUGRAM
